monthly_wage_gross,monthly_wage_net,x2,x1,x3,hh_size,weight,age,lfs_working,lfs_unemployed,y,netwage,part,x0,y0,w
NA,NA,1,12,0,4,5729.0498,36,0,0,0,0,FALSE,1,0,1
4500,3050,0,14,0,4,3562.97,40,1,0,4500,3050,TRUE,1,0,1
1200,1090,1,9,1,1,3496.3799,26,1,0,1200,1090,TRUE,1,0,1
1300,986,1,10.5,1,2,1029.46,45,1,0,1300,986,TRUE,1,0,1
1000,800,0,12,1,2,3945.3999,31,1,0,1000,800,TRUE,1,0,1
300,210,1,10,1,2,3981.8401,20,1,0,300,210,TRUE,1,0,1
470,470,1,12,0,4,313.70999,35,1,0,470,470,TRUE,1,0,1
NA,NA,1,12,0,2,616.53998,65,0,1,0,0,FALSE,1,0,1
NA,NA,0,10.5,0,2,699,62,0,1,0,0,FALSE,1,0,1
2000,1408,1,10.5,1,5,380.07999,24,1,0,2000,1408,TRUE,1,0,1
NA,NA,1,7,0,5,1133.63,44,0,0,0,0,FALSE,1,0,1
3800,2000,0,9,1,5,1334.51,22,1,0,3800,2000,TRUE,1,0,1
NA,NA,0,13.5,1,1,3284.8401,29,0,1,0,0,FALSE,1,0,1
NA,NA,1,14,0,3,142.31,34,0,0,0,0,FALSE,1,0,1
1300,1036,1,7,1,2,4653.6299,46,1,0,1300,1036,TRUE,1,0,1
1300,900,1,7,1,2,9080.3096,43,1,0,1300,900,TRUE,1,0,1
900,800,1,9,0,4,4455.8999,46,1,0,900,800,TRUE,1,0,1
2000,1699,1,10.5,0,2,1559.47,59,1,0,2000,1699,TRUE,1,0,1
NA,NA,1,12,0,4,2153.6001,43,0,0,0,0,FALSE,1,0,1
3700,2300,0,10.5,1,2,315.54999,32,1,0,3700,2300,TRUE,1,0,1
NA,NA,1,9,1,1,2723.9299,59,0,0,0,0,FALSE,1,0,1
450,450,1,10.5,0,4,710.25,39,1,0,450,450,TRUE,1,0,1
1639,1100,1,12,1,2,2363.4399,61,1,0,1639,1100,TRUE,1,0,1
2900,1800,1,14,0,2,909.10999,28,1,0,2900,1800,TRUE,1,0,1
NA,NA,1,12,0,4,71.43,41,0,0,0,0,FALSE,1,0,1
2400,1600,0,9,0,4,300.91,42,1,0,2400,1600,TRUE,1,0,1
1100,850,1,9,0,2,44.439999,61,1,0,1100,850,TRUE,1,0,1
2200,1780,0,10.5,0,2,50.380001,63,1,0,2200,1780,TRUE,1,0,1
NA,NA,1,9,0,3,1619.99,45,0,0,0,0,FALSE,1,0,1
2300,1800,0,10.5,0,3,4619.9102,49,1,0,2300,1800,TRUE,1,0,1
2900,2200,1,9,1,1,2167.8401,61,1,0,2900,2200,TRUE,1,0,1
1252,1045,1,10.5,0,2,609.56,58,1,0,1252,1045,TRUE,1,0,1
NA,NA,0,9,0,2,285.64999,61,0,1,0,0,FALSE,1,0,1
NA,NA,0,7,0,4,501.17001,30,0,1,0,0,FALSE,1,0,1
1800,1200,1,9,0,4,461.64001,30,1,0,1800,1200,TRUE,1,0,1
3400,2350,0,10.5,0,2,216.48,61,1,0,3400,2350,TRUE,1,0,1
1100,650,1,10.5,0,2,615.77002,58,1,0,1100,650,TRUE,1,0,1
2200,1600,1,12,1,2,351.42999,49,1,0,2200,1600,TRUE,1,0,1
NA,NA,1,10.5,1,1,811.54999,49,0,0,0,0,FALSE,1,0,1
2900,2100,0,9,0,2,7893.6299,55,1,0,2900,2100,TRUE,1,0,1
1900,1350,0,12,0,3,237.88,55,1,0,1900,1350,TRUE,1,0,1
640,536,0,9,1,3,322.95001,18,1,0,640,536,TRUE,1,0,1
NA,NA,1,10,1,3,403.53,43,0,1,0,0,FALSE,1,0,1
4539,3700,0,16,1,1,3797.01,40,1,0,4539,3700,TRUE,1,0,1
NA,NA,0,9,0,4,6857.2798,38,0,0,0,0,FALSE,1,0,1
2000,1650,1,12,0,2,3304.4299,35,1,0,2000,1650,TRUE,1,0,1
1050,720,1,10.5,0,4,2945.9299,38,1,0,1050,720,TRUE,1,0,1
4000,3000,0,16,0,2,2001.98,42,1,0,4000,3000,TRUE,1,0,1
2500,1390,0,14,0,2,267.57001,30,1,0,2500,1390,TRUE,1,0,1
400,200,1,12,0,2,991.64001,61,1,0,400,200,TRUE,1,0,1
855,748,1,10.5,1,1,4360.4302,47,1,0,855,748,TRUE,1,0,1
3200,2190,0,9,0,5,6534.6899,46,1,0,3200,2190,TRUE,1,0,1
450,450,1,10.5,0,5,6724.7998,42,1,0,450,450,TRUE,1,0,1
NA,NA,1,10,1,5,2071.6299,18,0,0,0,0,FALSE,1,0,1
2600,1700,0,12,0,3,10115.16,54,1,0,2600,1700,TRUE,1,0,1
NA,NA,0,10.5,1,1,12354.33,47,0,1,0,0,FALSE,1,0,1
